Median Income,Unemployment Rate,Bachelor's Degree,Vacant Housing Units,Population Change (2000-2017),In Need of Help
94677,3.1,23.7,6.2,2.4,0
49681,6.6,35.9,10,-8.8,0
58816,11.8,17.5,10.1,-11.2,1
26362,19.9,8.4,23.3,-13.9,1
42458,7,20,12.9,-25.3,1
40513,10.9,7.3,11.7,-0.2,1
50498,13.1,8.5,8.4,13.2,1
65948,5.1,16.9,6.1,3.6,0
44904,12,13.8,7.5,-1.2,1
48122,7.4,9.7,10.5,9.4,1
56087,7,30.7,7.4,1.8,0
39106,7.7,24.8,12.6,-13.3,1
39591,7.4,10,9.9,-10.3,1
49295,7.6,24.1,8.1,6.1,0
44088,10.8,24.2,11.9,-6.4,1
75000,5,20,8,-1,0
36000,14,17,10,5,1
50000,10,15,13,-10,1
60000,5,20,6,-1,0
40000,11,15,8,2,1
32000,15,15,13,10,1
55000,8,25,8,0,0
80000,3.1,23.7,6.2,2.4,0
55000,6.6,35.9,10,-8.8,0
35000,11.8,17.5,10.1,-11.2,1
40000,19.9,8.4,23.3,-13.9,1
41000,7,20,12.9,-25.3,1
40513,10.9,7.3,11.7,-0.2,1
50498,13.1,10,8.4,13.2,1
65948,5.1,15,6.1,3.6,0
44904,12,16,7.5,-1.2,1
48122,7.4,12,10.5,9.4,1
56087,7,30.7,7.4,1.8,0
39106,10,24.8,12.6,-13.3,1
39591,13,10,9.9,-10.3,1
49295,7.6,24.1,8.1,10,0
44088,9,24.2,11.9,-6.4,1
75000,5,20,8,-1,0
36000,14,17,10,5,1
50000,10,15,13,-10,1
60000,5,20,6,-1,0
40000,11,15,8,2,1
32000,15,15,13,10,1
55000,8,25,8,0,0
